date,storage,inflow,outflow,evaporation,elevation
2020-01-01,25.972,NA,NA,NA,NA
2020-01-02,25.716,NA,NA,NA,NA
2020-01-03,25.45,NA,NA,NA,NA
2020-01-04,25.2,NA,NA,NA,NA
2020-01-05,24.932,NA,NA,NA,NA
2020-01-06,24.652,NA,NA,NA,NA
2020-01-07,24.375,NA,NA,NA,NA
2020-01-08,24.115,NA,NA,NA,NA
2020-01-09,23.862,NA,NA,NA,NA
2020-01-10,23.516,NA,NA,NA,NA
2020-01-11,23.194,NA,NA,NA,NA
2020-01-12,22.835,NA,NA,NA,NA
2020-01-13,22.496,NA,NA,NA,NA
2020-01-14,22.203,NA,NA,NA,NA
2020-01-15,21.829,NA,NA,NA,NA
2020-01-16,21.5,NA,NA,NA,NA
2020-01-17,21.148,NA,NA,NA,NA
2020-01-18,20.785,NA,NA,NA,NA
2020-01-19,20.423,NA,NA,NA,NA
2020-01-20,20.082,NA,NA,NA,NA
2020-01-21,19.778,NA,NA,NA,NA
2020-01-22,19.507,NA,NA,NA,NA
2020-01-23,19.247,NA,NA,NA,NA
2020-01-24,19.226,NA,NA,NA,NA
2020-01-25,19.242,NA,NA,NA,NA
2020-01-26,20.785,NA,NA,NA,NA
2020-01-27,21.458,NA,NA,NA,NA
2020-01-28,21.777,NA,NA,NA,NA
2020-01-29,21.961,NA,NA,NA,NA
2020-01-30,22.085,NA,NA,NA,NA
2020-01-31,22.275,NA,NA,NA,NA
2020-02-01,22.47,NA,NA,NA,NA
2020-02-02,22.431,NA,NA,NA,NA
2020-02-03,22.275,NA,NA,NA,NA
2020-02-04,22.06,NA,NA,NA,NA
2020-02-05,21.701,NA,NA,NA,NA
2020-02-06,21.678,NA,NA,NA,NA
2020-02-07,21.67,NA,NA,NA,NA
2020-02-08,21.683,NA,NA,NA,NA
2020-02-09,21.678,NA,NA,NA,NA
2020-02-10,21.632,NA,NA,NA,NA
2020-02-11,21.585,NA,NA,NA,NA
2020-02-12,21.546,NA,NA,NA,NA
2020-02-13,21.512,NA,NA,NA,NA
2020-02-14,21.491,NA,NA,NA,NA
2020-02-15,21.479,NA,NA,NA,NA
2020-02-16,21.458,NA,NA,NA,NA
2020-02-17,21.479,NA,NA,NA,NA
2020-02-18,21.487,NA,NA,NA,NA
2020-02-19,21.481,NA,NA,NA,NA
2020-02-20,21.449,NA,NA,NA,NA
2020-02-21,21.41,NA,NA,NA,NA
2020-02-22,21.406,NA,NA,NA,NA
2020-02-23,21.428,NA,NA,NA,NA
2020-02-24,21.479,NA,NA,NA,NA
2020-02-25,21.5,NA,NA,NA,NA
2020-02-26,21.55,NA,NA,NA,NA
2020-02-27,21.661,NA,NA,NA,NA
2020-02-28,21.803,NA,NA,NA,NA
2020-02-29,21.967,NA,NA,NA,NA
2020-03-01,22.108,NA,NA,NA,NA
2020-03-02,22.125,NA,NA,NA,NA
2020-03-03,22.134,NA,NA,NA,NA
2020-03-04,22.229,NA,NA,NA,NA
2020-03-05,22.444,NA,NA,NA,NA
2020-03-06,22.774,NA,NA,NA,NA
2020-03-07,22.944,NA,NA,NA,NA
2020-03-08,22.901,NA,NA,NA,NA
2020-03-09,23.032,NA,NA,NA,NA
2020-03-10,23.141,NA,NA,NA,NA
2020-03-11,23.268,NA,NA,NA,NA
2020-03-12,23.481,NA,NA,NA,NA
2020-03-13,23.768,NA,NA,NA,NA
2020-03-14,24.155,NA,NA,NA,NA
2020-03-15,24.387,NA,NA,NA,NA
2020-03-16,24.589,NA,NA,NA,NA
2020-03-17,24.666,NA,NA,NA,NA
2020-03-18,24.707,NA,NA,NA,NA
2020-03-19,NA,NA,NA,NA,NA
2020-03-20,24.688,NA,NA,NA,NA
2020-03-21,24.698,NA,NA,NA,NA
2020-03-22,24.761,NA,NA,NA,NA
2020-03-23,24.829,NA,NA,NA,NA
2020-03-24,24.914,NA,NA,NA,NA
2020-03-25,24.955,NA,NA,NA,NA
2020-03-26,24.924,NA,NA,NA,NA
2020-03-27,24.834,NA,NA,NA,NA
2020-03-28,24.725,NA,NA,NA,NA
2020-03-29,24.635,NA,NA,NA,NA
2020-03-30,24.589,NA,NA,NA,NA
2020-03-31,24.662,NA,NA,NA,NA
2020-04-01,25.254,NA,NA,NA,NA
2020-04-02,25.812,NA,NA,NA,NA
2020-04-03,26.282,NA,NA,NA,NA
2020-04-04,26.559,NA,NA,NA,NA
2020-04-05,26.933,NA,NA,NA,NA
2020-04-06,27.134,NA,NA,NA,NA
2020-04-07,27.477,NA,NA,NA,NA
2020-04-08,28.197,NA,NA,NA,NA
2020-04-09,29.285,NA,NA,NA,NA
2020-04-10,30.747,NA,NA,NA,NA
2020-04-11,32.87,NA,NA,NA,NA
2020-04-12,35.46,NA,NA,NA,NA
2020-04-13,37.637,NA,NA,NA,NA
2020-04-14,39.286,NA,NA,NA,NA
2020-04-15,41.044,NA,NA,NA,NA
2020-04-16,43.208,NA,NA,NA,NA
2020-04-17,45.377,NA,NA,NA,NA
2020-04-18,47.802,NA,NA,NA,NA
2020-04-19,50.005,NA,NA,NA,NA
2020-04-20,51.854,NA,NA,NA,NA
2020-04-21,53.632,NA,NA,NA,NA
2020-04-22,56.426,NA,NA,NA,NA
2020-04-23,59.589,NA,NA,NA,NA
2020-04-24,62.842,NA,NA,NA,NA
2020-04-25,66.098,NA,NA,NA,NA
2020-04-26,69.156,NA,NA,NA,NA
2020-04-27,71.922,NA,NA,NA,NA
2020-04-28,74.936,NA,NA,NA,NA
2020-04-29,78.29,NA,NA,NA,NA
2020-04-30,80.772,NA,NA,NA,NA
2020-05-01,82.272,NA,NA,NA,NA
2020-05-02,83.224,NA,NA,NA,NA
2020-05-03,84.018,NA,NA,NA,NA
2020-05-04,84.548,NA,NA,NA,NA
2020-05-05,84.988,NA,NA,NA,NA
2020-05-06,85.446,NA,NA,NA,NA
2020-05-07,85.658,NA,NA,NA,NA
2020-05-08,85.388,NA,NA,NA,NA
2020-05-09,85.331,NA,NA,NA,NA
2020-05-10,85.353,NA,NA,NA,NA
2020-05-11,85.069,NA,NA,NA,NA
2020-05-12,84.792,NA,NA,NA,NA
2020-05-13,84.694,NA,NA,NA,NA
2020-05-14,84.482,NA,NA,NA,NA
2020-05-15,84.206,NA,NA,NA,NA
2020-05-16,84.165,NA,NA,NA,NA
2020-05-17,86.298,NA,NA,NA,NA
2020-05-18,90.861,NA,NA,NA,NA
2020-05-19,91.017,NA,NA,NA,NA
2020-05-20,91.128,NA,NA,NA,NA
2020-05-21,90.644,NA,NA,NA,NA
2020-05-22,90.41,NA,NA,NA,NA
2020-05-23,90.169,NA,NA,NA,NA
2020-05-24,89.993,NA,NA,NA,NA
2020-05-25,90.035,NA,NA,NA,NA
2020-05-26,90.435,NA,NA,NA,NA
2020-05-27,90.803,NA,NA,NA,NA
2020-05-28,90.92,NA,NA,NA,NA
2020-05-29,90.736,NA,NA,NA,NA
2020-05-30,90.619,NA,NA,NA,NA
2020-05-31,90.277,NA,NA,NA,NA
2020-06-01,89.611,NA,NA,NA,NA
2020-06-02,88.955,NA,NA,NA,NA
2020-06-03,88.085,NA,NA,NA,NA
2020-06-04,87.135,NA,NA,NA,NA
2020-06-05,86.15,NA,NA,NA,NA
2020-06-06,85.103,NA,NA,NA,NA
2020-06-07,83.978,NA,NA,NA,NA
2020-06-08,82.828,NA,NA,NA,NA
2020-06-09,81.605,NA,NA,NA,NA
2020-06-10,80.308,NA,NA,NA,NA
2020-06-11,78.999,NA,NA,NA,NA
2020-06-12,77.599,NA,NA,NA,NA
2020-06-13,76.203,NA,NA,NA,NA
2020-06-14,74.775,NA,NA,NA,NA
2020-06-15,73.535,NA,NA,NA,NA
2020-06-16,72.73,NA,NA,NA,NA
2020-06-17,72.094,NA,NA,NA,NA
2020-06-18,71.485,NA,NA,NA,NA
2020-06-19,70.863,NA,NA,NA,NA
2020-06-20,70.245,NA,NA,NA,NA
2020-06-21,69.681,NA,NA,NA,NA
2020-06-22,69.082,NA,NA,NA,NA
2020-06-23,68.544,NA,NA,NA,NA
2020-06-24,67.987,NA,NA,NA,NA
2020-06-25,67.447,NA,NA,NA,NA
2020-06-26,66.924,NA,NA,NA,NA
2020-06-27,66.351,NA,NA,NA,NA
2020-06-28,65.802,NA,NA,NA,NA
2020-06-29,65.228,NA,NA,NA,NA
2020-06-30,64.727,NA,NA,NA,NA
2020-07-01,64.051,NA,NA,NA,NA
2020-07-02,63.533,NA,NA,NA,NA
2020-07-03,62.99,NA,NA,NA,NA
2020-07-04,62.441,NA,NA,NA,NA
2020-07-05,61.875,NA,NA,NA,NA
2020-07-06,61.311,NA,NA,NA,NA
2020-07-07,60.749,NA,NA,NA,NA
2020-07-08,60.067,NA,NA,NA,NA
2020-07-09,59.327,NA,NA,NA,NA
2020-07-10,58.571,NA,NA,NA,NA
2020-07-11,57.819,NA,NA,NA,NA
2020-07-12,57.061,NA,NA,NA,NA
2020-07-13,56.292,NA,NA,NA,NA
2020-07-14,55.544,NA,NA,NA,NA
2020-07-15,54.78,NA,NA,NA,NA
2020-07-16,54.035,NA,NA,NA,NA
2020-07-17,53.288,NA,NA,NA,NA
2020-07-18,52.546,NA,NA,NA,NA
2020-07-19,51.81,NA,NA,NA,NA
2020-07-20,51.027,NA,NA,NA,NA
2020-07-21,49.987,NA,NA,NA,NA
2020-07-22,49.094,NA,NA,NA,NA
2020-07-23,48.251,NA,NA,NA,NA
2020-07-24,47.41,NA,NA,NA,NA
2020-07-25,46.564,NA,NA,NA,NA
2020-07-26,45.689,NA,NA,NA,NA
2020-07-27,44.799,NA,NA,NA,NA
2020-07-28,43.939,NA,NA,NA,NA
2020-07-29,43.064,NA,NA,NA,NA
2020-07-30,42.303,NA,NA,NA,NA
2020-07-31,41.662,NA,NA,NA,NA
2020-08-01,41.055,NA,NA,NA,NA
2020-08-02,40.459,NA,NA,NA,NA
2020-08-03,39.841,NA,NA,NA,NA
2020-08-04,39.247,NA,NA,NA,NA
2020-08-05,38.662,NA,NA,NA,NA
2020-08-06,38.098,NA,NA,NA,NA
2020-08-07,37.55,NA,NA,NA,NA
2020-08-08,37.02,NA,NA,NA,NA
2020-08-09,36.495,NA,NA,NA,NA
2020-08-10,35.978,NA,NA,NA,NA
2020-08-11,35.46,NA,NA,NA,NA
2020-08-12,35.099,NA,NA,NA,NA
2020-08-13,34.671,NA,NA,NA,NA
2020-08-14,34.171,NA,NA,NA,NA
2020-08-15,33.479,NA,NA,NA,NA
2020-08-16,32.787,NA,NA,NA,NA
2020-08-17,32.109,NA,NA,NA,NA
2020-08-18,31.453,NA,NA,NA,NA
2020-08-19,30.793,NA,NA,NA,NA
2020-08-20,30.135,NA,NA,NA,NA
2020-08-21,29.479,NA,NA,NA,NA
2020-08-22,28.833,NA,NA,NA,NA
2020-08-23,28.197,NA,NA,NA,NA
2020-08-24,27.581,NA,NA,NA,NA
2020-08-25,26.965,NA,NA,NA,NA
2020-08-26,26.361,NA,NA,NA,NA
2020-08-27,25.753,NA,NA,NA,NA
2020-08-28,25.132,NA,NA,NA,NA
2020-08-29,24.499,NA,NA,NA,NA
2020-08-30,23.852,NA,NA,NA,NA
2020-08-31,23.189,NA,NA,NA,NA
2020-09-01,22.427,NA,NA,NA,NA
2020-09-02,21.581,NA,NA,NA,NA
2020-09-03,20.757,NA,NA,NA,NA
2020-09-04,19.942,NA,NA,NA,NA
2020-09-05,19.137,NA,NA,NA,NA
2020-09-06,18.35,NA,NA,NA,NA
2020-09-07,18.116,NA,NA,NA,NA
2020-09-08,18.458,NA,NA,NA,NA
2020-09-09,18.513,NA,NA,NA,NA
2020-09-10,17.475,NA,NA,NA,NA
2020-09-11,16.685,NA,NA,NA,NA
2020-09-12,15.906,NA,NA,NA,NA
2020-09-13,15.576,NA,NA,NA,NA
2020-09-14,15.636,NA,NA,NA,NA
2020-09-15,15.446,NA,NA,NA,NA
2020-09-16,15.293,NA,NA,NA,NA
2020-09-17,15.33,NA,NA,NA,NA
2020-09-18,14.942,NA,NA,NA,NA
2020-09-19,14.184,NA,NA,NA,NA
2020-09-20,13.492,NA,NA,NA,NA
2020-09-21,12.832,NA,NA,NA,NA
2020-09-22,12.236,NA,NA,NA,NA
2020-09-23,11.574,NA,NA,NA,NA
2020-09-24,10.914,NA,NA,NA,NA
2020-09-25,10.264,NA,NA,NA,NA
2020-09-26,9.619,NA,NA,NA,NA
2020-09-27,8.974,NA,NA,NA,NA
2020-09-28,8.233,NA,NA,NA,NA
2020-09-29,7.424,NA,NA,NA,NA
2020-09-30,7.106,NA,NA,NA,NA
2020-10-01,6.814,NA,NA,NA,NA
2020-10-02,6.496,NA,NA,NA,NA
2020-10-03,6.155,NA,NA,NA,NA
2020-10-04,5.829,NA,NA,NA,NA
2020-10-05,5.501,NA,NA,NA,NA
2020-10-06,NA,NA,NA,NA,NA
2020-10-07,4.659,NA,NA,NA,NA
2020-10-08,4.659,NA,NA,NA,NA
2020-10-09,4.659,NA,NA,NA,NA
2020-10-10,4.658,NA,NA,NA,NA
2020-10-11,4.661,NA,NA,NA,NA
2020-10-12,4.655,NA,NA,NA,NA
2020-10-13,4.658,NA,NA,NA,NA
2020-10-14,0.199,NA,NA,NA,NA
2020-10-15,0.199,NA,NA,NA,NA
2020-10-16,0.199,NA,NA,NA,NA
2020-10-17,0.199,NA,NA,NA,NA
2020-10-18,0.199,NA,NA,NA,NA
2020-10-19,4.659,NA,NA,NA,NA
2020-10-20,4.659,NA,NA,NA,NA
2020-10-21,4.659,NA,NA,NA,NA
2020-10-22,4.661,NA,NA,NA,NA
2020-10-23,4.659,NA,NA,NA,NA
2020-10-24,4.661,NA,NA,NA,NA
2020-10-25,4.669,NA,NA,NA,NA
2020-10-26,4.881,NA,NA,NA,NA
2020-10-27,5.086,NA,NA,NA,NA
2020-10-28,5.727,NA,NA,NA,NA
2020-10-29,6.245,NA,NA,NA,NA
2020-10-30,6.699,NA,NA,NA,NA
2020-10-31,7.74,NA,NA,NA,NA
2020-11-01,8.718,NA,NA,NA,NA
2020-11-02,9.191,NA,NA,NA,NA
2020-11-03,9.691,NA,NA,NA,NA
2020-11-04,10.148,NA,NA,NA,NA
2020-11-05,10.621,NA,NA,NA,NA
2020-11-06,11.069,NA,NA,NA,NA
2020-11-07,11.513,NA,NA,NA,NA
2020-11-08,11.944,NA,NA,NA,NA
2020-11-09,12.461,NA,NA,NA,NA
2020-11-10,13.103,NA,NA,NA,NA
2020-11-11,13.72,NA,NA,NA,NA
2020-11-12,14.303,NA,NA,NA,NA
2020-11-13,15.026,NA,NA,NA,NA
2020-11-14,15.715,NA,NA,NA,NA
2020-11-15,16.357,NA,NA,NA,NA
2020-11-16,16.967,NA,NA,NA,NA
2020-11-17,17.604,NA,NA,NA,NA
2020-11-18,18.61,NA,NA,NA,NA
2020-11-19,19.263,NA,NA,NA,NA
2020-11-20,19.781,NA,NA,NA,NA
2020-11-21,20.339,NA,NA,NA,NA
2020-11-22,20.907,NA,NA,NA,NA
2020-11-23,21.44,NA,NA,NA,NA
2020-11-24,21.983,NA,NA,NA,NA
2020-11-25,22.518,NA,NA,NA,NA
2020-11-26,23.071,NA,NA,NA,NA
2020-11-27,23.621,NA,NA,NA,NA
2020-11-28,24.142,NA,NA,NA,NA
2020-11-29,24.652,NA,NA,NA,NA
2020-11-30,25.141,NA,NA,NA,NA
2020-12-01,25.619,NA,NA,NA,NA
2020-12-02,26.038,NA,NA,NA,NA
2020-12-03,26.532,NA,NA,NA,NA
2020-12-04,26.975,NA,NA,NA,NA
2020-12-05,27.387,NA,NA,NA,NA
2020-12-06,27.799,NA,NA,NA,NA
2020-12-07,28.184,NA,NA,NA,NA
2020-12-08,28.418,NA,NA,NA,NA
2020-12-09,28.403,NA,NA,NA,NA
2020-12-10,28.49,NA,NA,NA,NA
2020-12-11,28.548,NA,NA,NA,NA
2020-12-12,28.619,NA,NA,NA,NA
2020-12-13,28.782,NA,NA,NA,NA
2020-12-14,28.873,NA,NA,NA,NA
2020-12-15,28.908,NA,NA,NA,NA
2020-12-16,28.976,NA,NA,NA,NA
2020-12-17,29.12,NA,NA,NA,NA
2020-12-18,28.999,NA,NA,NA,NA
2020-12-19,29.077,NA,NA,NA,NA
2020-12-20,29.135,NA,NA,NA,NA
2020-12-21,29.052,NA,NA,NA,NA
2020-12-22,28.873,NA,NA,NA,NA
2020-12-23,28.672,NA,NA,NA,NA
2020-12-24,28.327,NA,NA,NA,NA
2020-12-25,27.969,NA,NA,NA,NA
2020-12-26,27.714,NA,NA,NA,NA
2020-12-27,27.336,NA,NA,NA,NA
2020-12-28,26.933,NA,NA,NA,NA
2020-12-29,26.519,NA,NA,NA,NA
2020-12-30,26.102,NA,NA,NA,NA
2020-12-31,25.679,NA,NA,NA,NA
