date,storage,inflow,outflow,elevation,evaporation
1962-10-01,15.839,9.345,9.345,306.446,NA
1962-10-02,15.839,9.345,9.345,306.446,NA
1962-10-03,16.254,14.498,9.713,306.568,NA
1962-10-04,16.772,23.305,17.302,306.72,NA
1962-10-05,16.564,16.565,18.972,306.659,NA
1962-10-06,16.254,12.346,15.942,306.568,NA
1962-10-07,16.046,12.091,14.498,306.507,NA
1962-10-08,15.943,12.941,14.13,306.476,NA
1962-10-09,15.839,10.166,11.355,306.446,NA
1962-10-10,15.839,10.789,10.789,306.446,NA
1962-10-11,15.839,9.571,9.571,306.446,NA
1962-10-12,15.943,10.534,9.345,306.476,NA
1962-10-13,15.943,9.345,9.345,306.476,NA
1962-10-14,15.943,9.656,9.656,306.476,NA
1962-10-15,15.943,9.514,9.514,306.476,NA
1962-10-16,16.046,10.477,9.288,306.507,NA
1962-10-17,16.046,9.684,9.684,306.507,NA
1962-10-18,15.943,8.722,9.911,306.476,NA
1962-10-19,15.839,9.061,10.251,306.446,NA
1962-10-20,15.839,9.005,9.005,306.446,NA
1962-10-21,15.736,7.589,8.778,306.415,NA
1962-10-22,16.046,12.912,9.316,306.507,NA
1962-10-23,16.15,10.959,9.769,306.537,NA
1962-10-24,16.046,8.382,9.571,306.507,NA
1962-10-25,16.046,9.316,9.316,306.507,NA
1962-10-26,15.943,8.127,9.316,306.476,NA
1962-10-27,15.943,9.316,9.316,306.476,NA
1962-10-28,15.839,8.127,9.316,306.446,NA
1962-10-29,15.839,8.807,8.807,306.446,NA
1962-10-30,15.839,9.316,9.316,306.446,NA
1962-10-31,15.839,9.316,9.316,306.446,NA
1962-11-01,15.943,10.251,9.061,306.476,NA
1962-11-02,15.943,8.807,8.807,306.476,NA
1962-11-03,16.15,11.525,9.118,306.537,NA
1962-11-04,15.943,10.647,13.054,306.476,NA
1962-11-05,15.736,7.787,10.194,306.415,NA
1962-11-06,15.736,9.146,9.146,306.415,NA
1962-11-07,15.736,9.146,9.146,306.415,NA
1962-11-08,15.736,9.146,9.146,306.415,NA
1962-11-09,18.844,47.487,11.497,307.33,NA
1962-11-10,20.605,36.727,16.339,307.848,NA
1962-11-11,20.502,19.624,20.813,307.818,NA
1962-11-12,20.398,13.054,14.243,307.787,NA
1962-11-13,20.605,11.468,9.061,307.848,NA
1962-11-14,21.158,12.997,6.598,307.97,NA
1962-11-15,21.572,12.884,8.099,308.061,NA
1962-11-16,22.125,13.111,6.711,308.183,NA
1962-11-17,22.539,11.497,6.711,308.275,NA
1962-11-18,23.506,17.925,6.739,308.488,NA
1962-11-19,24.334,16.367,6.796,308.671,NA
1962-11-20,25.025,14.838,6.853,308.823,NA
1962-11-21,25.577,13.309,6.909,308.945,NA
1962-11-22,26.821,21.379,6.994,309.22,NA
1962-11-23,27.373,13.422,7.023,309.342,NA
1962-11-24,27.788,11.808,7.023,309.433,NA
1962-11-25,28.202,15.263,10.477,309.524,NA
1962-11-26,28.064,12.289,13.875,309.494,NA
1962-11-27,28.064,9.345,9.345,309.494,NA
1962-11-28,28.479,11.865,7.079,309.585,NA
1962-11-29,28.755,10.279,7.079,309.646,NA
1962-11-30,29.169,11.865,7.079,309.738,NA
1962-12-01,29.446,10.279,7.079,309.799,NA
1962-12-02,29.722,10.307,7.108,309.86,NA
1962-12-03,29.998,10.307,7.108,309.921,NA
1962-12-04,31.931,29.563,7.192,310.347,NA
1962-12-05,33.313,34.716,18.717,310.652,NA
1962-12-06,33.174,22.568,24.154,310.622,NA
1962-12-07,33.174,17.981,17.981,310.622,NA
1962-12-08,33.036,16.084,17.67,310.591,NA
1962-12-09,32.76,10.817,14.017,310.53,NA
1962-12-10,33.036,14.045,10.845,310.591,NA
1962-12-11,33.174,12.431,10.845,310.622,NA
1962-12-12,33.174,10.845,10.845,310.622,NA
1962-12-13,33.036,6.909,8.495,310.591,NA
1962-12-14,33.451,12.12,7.334,310.683,NA
1962-12-15,33.727,10.534,7.334,310.744,NA
1962-12-16,34.141,12.12,7.334,310.835,NA
1962-12-17,34.584,12.488,7.362,310.926,NA
