free_right,free_left,ego_speed,during_change,distance_front,distance_back,speed_front,speed_back,occup_front,occup_back,ego_lanes,action,free_right',free_left',ego_speed',during_change',distance_front',distance_back',speed_front',speed_back',occup_front',occup_back',ego_lanes',r_deltaspeed,r_freeright,r_lanechange,r_safetyviolation,r_distancefront,r_jerk,done
0.0,1.0,0.6165880117735831,0.0,[0.48959371 0.1448936  1.        ],[0.03371501 1.         1.        ],[0.78233656 0.78154847 1.        ],[0.78422696 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],1,0.0,0.0,0.6231239594860014,1.0,[0.49403665 0.14934794 1.        ],[0.02923461 1.         1.        ],[0.78283772 0.78324729 1.        ],[0.78418398 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.37687604051399853,0,-1,0,-0.8506520620914819,-0.4999999999999982,False
0.0,0.0,0.6231239594860014,1.0,[0.49403665 0.14934794 1.        ],[0.02923461 1.         1.        ],[0.78283772 0.78324729 1.        ],[0.78418398 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,0.0,0.6296599071984197,1.0,[0.49826353 0.15363818 1.        ],[0.02494387 1.         1.        ],[0.7816065  0.78388439 1.        ],[0.7839023 0.        0.       ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.37034009280158026,0,0,0,-0.8463618174111605,-0.0,False
0.0,0.0,0.6296599071984197,1.0,[0.49826353 0.15363818 1.        ],[0.02494387 1.         1.        ],[0.7816065  0.78388439 1.        ],[0.7839023 0.        0.       ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,0.0,0.636195854910838,1.0,[0.50237597 0.15775073 1.        ],[0.0208297 1.        1.       ],[0.78402868 0.78403249 1.        ],[0.78409067 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.363804145089162,0,0,0,-0.8422492710488602,-0.0,False
0.0,0.0,0.636195854910838,1.0,[0.50237597 0.15775073 1.        ],[0.0208297 1.        1.       ],[0.78402868 0.78403249 1.        ],[0.78409067 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,0.0,0.6427318026232562,1.0,[0.5063102  0.16165641 1.        ],[0.01698199 1.         1.        ],[0.78415826 0.78313228 1.        ],[0.78104821 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.3572681973767437,0,0,0,-0.83834358506668,-0.0,False
0.0,0.0,0.6427318026232562,1.0,[0.5063102  0.16165641 1.        ],[0.01698199 1.         1.        ],[0.78415826 0.78313228 1.        ],[0.78104821 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,0.0,0.6492677503356745,1.0,[0.51003589 0.1654029  1.        ],[0.01328577 1.         1.        ],[0.78319799 0.78394524 1.        ],[0.78213835 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.3507322496643254,0,0,0,-0.8345971020350622,-0.0,False
0.0,0.0,0.6492677503356745,1.0,[0.51003589 0.1654029  1.        ],[0.01328577 1.         1.        ],[0.78319799 0.78394524 1.        ],[0.78213835 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,0.0,0.6558036980480928,1.0,[0.5135702 0.168909  1.       ],[0.00974295 1.         1.        ],[0.78285406 0.78184014 1.        ],[0.78315995 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.34419630195190715,0,0,0,-0.8310909973085484,-0.0,False
0.0,0.0,0.6558036980480928,1.0,[0.5135702 0.168909  1.       ],[0.00974295 1.         1.        ],[0.78285406 0.78184014 1.        ],[0.78315995 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,0.0,0.6623396457605111,1.0,[0.51694395 0.17224197 1.        ],[0.00638145 1.         1.        ],[0.7836182  0.78215203 1.        ],[0.78317789 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.        0.9874552 0.0125448],-0.33766035423948887,0,0,0,-0.8277580345303843,-0.0,False
0.0,0.0,0.6623396457605111,1.0,[0.51694395 0.17224197 1.        ],[0.00638145 1.         1.        ],[0.7836182  0.78215203 1.        ],[0.78317789 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.        0.9874552 0.0125448],0,0.0,0.0,0.6688755934729294,1.0,[0.52012986 0.17544021 1.        ],[0.00321682 1.         1.        ],[0.78340179 0.783845   1.        ],[0.78263673 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.93010753 0.06989247],-0.3311244065270706,0,0,0,-0.8245597945893401,-0.0,False
0.0,0.0,0.6688755934729294,1.0,[0.52012986 0.17544021 1.        ],[0.00321682 1.         1.        ],[0.78340179 0.783845   1.        ],[0.78263673 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.93010753 0.06989247],0,0.0,0.0,0.6754115411853476,1.0,[0.52313837 0.17841207 1.        ],[2.49026952e-04 1.00000000e+00 1.00000000e+00],[0.78356032 0.78224312 1.        ],[0.78209705 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.87275986 0.12724014],-0.3245884588146523,0,0,0,-0.8215879341781442,-0.0,False
0.0,0.0,0.6754115411853476,1.0,[0.52313837 0.17841207 1.        ],[2.49026952e-04 1.00000000e+00 1.00000000e+00],[0.78356032 0.78224312 1.        ],[0.78209705 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.87275986 0.12724014],0,0.0,0.0,0.6819474888977659,1.0,[0.52590309 0.18119738 1.        ],[0. 1. 1.],[0.78133305 0.78207319 1.        ],[0.78379398 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.81541219 0.18458781],-0.31805251110223404,0,0,0,-0.8188026193403349,-0.0,False
