free_right,free_left,ego_speed,during_change,distance_front,distance_back,speed_front,speed_back,occup_front,occup_back,ego_lanes,action,free_right',free_left',ego_speed',during_change',distance_front',distance_back',speed_front',speed_back',occup_front',occup_back',ego_lanes',r_deltaspeed,r_freeright,r_lanechange,r_safetyviolation,r_distancefront,r_jerk,done
1.0,0.0,0.25828083480550035,0.0,[0.37102729 0.20288927 1.        ],[1. 1. 1.],[0.78265933 0.84943224 1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.2648167825179186,0.0,[0.38543533 0.21910247 1.        ],[1. 1. 1.],[0.78275274 0.84764431 1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],-0.7351832174820813,-1,0,0,0.0,-0.4999999999999982,False
1.0,0.0,0.2648167825179186,0.0,[0.38543533 0.21910247 1.        ],[1. 1. 1.],[0.78275274 0.84764431 1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.2713527302303369,0.0,[0.39970137 0.23518929 1.        ],[1. 1. 1.],[0.78418417 0.84963728 1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],-0.7286472697696631,-1,0,0,0.0,-0.0,False
1.0,0.0,0.2713527302303369,0.0,[0.39970137 0.23518929 1.        ],[1. 1. 1.],[0.78418417 0.84963728 1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.2778886779427552,0.0,[0.41378795 0.25101499 1.        ],[1. 1. 1.],[0.78426909 0.84678639 1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],-0.7221113220572447,-1,0,0,0.0,-0.0,False
1.0,0.0,0.2778886779427552,0.0,[0.41378795 0.25101499 1.        ],[1. 1. 1.],[0.78426909 0.84678639 1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.28442462565517346,0.0,[0.4276779 0.2666976 1.       ],[1. 1. 1.],[0.78373667 0.8481786  1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],-0.7155753743448265,-1,0,0,0.0,-0.0,False
1.0,0.0,0.28442462565517346,0.0,[0.4276779 0.2666976 1.       ],[1. 1. 1.],[0.78373667 0.8481786  1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.29096057336759173,0.0,[0.4413948  0.28215596 1.        ],[1. 1. 1.],[0.78405177 0.8466533  1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],-0.7090394266324082,-1,0,0,0.0,-0.0,False
1.0,0.0,0.29096057336759173,0.0,[0.4413948  0.28215596 1.        ],[1. 1. 1.],[0.78405177 0.8466533  1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.29749652108001,0.0,[0.45490462 0.29744045 1.        ],[1. 1. 1.],[0.78314338 0.84693864 1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],-0.70250347891999,-1,0,0,0.0,-0.0,False
1.0,0.0,0.29749652108001,0.0,[0.45490462 0.29744045 1.        ],[1. 1. 1.],[0.78314338 0.84693864 1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.3040324687924283,0.0,[0.46821978 0.31257442 1.        ],[1. 1. 1.],[0.78268203 0.84806435 1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],-0.6959675312075716,-1,0,0,0.0,-0.0,False
1.0,0.0,0.3040324687924283,0.0,[0.46821978 0.31257442 1.        ],[1. 1. 1.],[0.78268203 0.84806435 1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.31056841650484657,0.0,[0.48139749 0.32752849 1.        ],[1. 1. 1.],[0.78427712 0.84813285 1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],-0.6894315834951534,-1,0,0,0.0,-0.0,False
1.0,0.0,0.31056841650484657,0.0,[0.48139749 0.32752849 1.        ],[1. 1. 1.],[0.78427712 0.84813285 1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.31710436421726484,0.0,[0.49434938 0.34224266 1.        ],[1. 1. 1.],[0.78269503 0.84604521 1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],-0.682895635782735,-1,0,0,0.0,-0.0,False
1.0,0.0,0.31710436421726484,0.0,[0.49434938 0.34224266 1.        ],[1. 1. 1.],[0.78269503 0.84604521 1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.3236403119296831,0.0,[0.50716031 0.35682478 1.        ],[1. 1. 1.],[0.78416412 0.84783418 1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],-0.6763596880703169,-1,0,0,0.0,-0.0,False
1.0,0.0,0.3236403119296831,0.0,[0.50716031 0.35682478 1.        ],[1. 1. 1.],[0.78416412 0.84783418 1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.3301762596421014,0.0,[0.51974443 0.37119411 1.        ],[1. 1. 1.],[0.78254643 0.8467209  1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],-0.6698237403578985,-1,0,0,0.0,-0.0,False
1.0,0.0,0.3301762596421014,0.0,[0.51974443 0.37119411 1.        ],[1. 1. 1.],[0.78254643 0.8467209  1.        ],[0. 0. 0.],[1. 1. 0.],[0. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.3367122073545197,0.0,[0.53216382 0.38542117 1.        ],[0.99670402 1.         1.        ],[0.78316092 0.84814247 1.        ],[0.78247969 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.6632877926454803,-1,0,0,0.0,-0.0,False
1.0,0.0,0.3367122073545197,0.0,[0.53216382 0.38542117 1.        ],[0.99670402 1.         1.        ],[0.78316092 0.84814247 1.        ],[0.78247969 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.34324815506693795,0.0,[0.54439791 0.39947425 1.        ],[0.98448166 1.         1.        ],[0.78303574 0.84842401 1.        ],[0.78261423 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.6567518449330619,-1,0,0,0.0,-0.0,False
1.0,0.0,0.34324815506693795,0.0,[0.54439791 0.39947425 1.        ],[0.98448166 1.         1.        ],[0.78303574 0.84842401 1.        ],[0.78261423 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.34978410277935623,0.0,[0.55643704 0.41330373 1.        ],[0.9724236 1.        1.       ],[0.78256337 0.84692234 1.        ],[0.7832437 0.        0.       ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.6502158972206438,-1,0,0,0.0,-0.0,False
1.0,0.0,0.34978410277935623,0.0,[0.55643704 0.41330373 1.        ],[0.9724236 1.        1.       ],[0.78256337 0.84692234 1.        ],[0.7832437 0.        0.       ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.3563200504917745,0.0,[0.56830762 0.42691805 1.        ],[0.960568 1.       1.      ],[0.78304005 0.84572386 1.        ],[0.78250164 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.6436799495082254,-1,0,0,0.0,-0.0,False
1.0,0.0,0.3563200504917745,0.0,[0.56830762 0.42691805 1.        ],[0.960568 1.       1.      ],[0.78304005 0.84572386 1.        ],[0.78250164 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.3628559982041928,0.0,[0.58003107 0.44034325 1.        ],[0.94893169 1.         1.        ],[0.7842872  0.84546116 1.        ],[0.78115491 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.6371440017958072,-1,0,0,0.0,-0.0,False
1.0,0.0,0.3628559982041928,0.0,[0.58003107 0.44034325 1.        ],[0.94893169 1.         1.        ],[0.7842872  0.84546116 1.        ],[0.78115491 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.36939194591661106,0.0,[0.59154504 0.45366025 1.        ],[0.93740805 1.         1.        ],[0.78329277 0.84810742 1.        ],[0.78364048 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.6306080540833888,-1,0,0,0.0,-0.0,False
1.0,0.0,0.36939194591661106,0.0,[0.59154504 0.45366025 1.        ],[0.93740805 1.         1.        ],[0.78329277 0.84810742 1.        ],[0.78364048 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.37592789362902934,0.0,[0.60286087 0.46674235 1.        ],[0.92612516 1.         1.        ],[0.78270624 0.84619957 1.        ],[0.78152183 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.6240721063709707,-1,0,0,0.0,-0.0,False
1.0,0.0,0.37592789362902934,0.0,[0.60286087 0.46674235 1.        ],[0.92612516 1.         1.        ],[0.78270624 0.84619957 1.        ],[0.78152183 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.3824638413414476,0.0,[0.61401677 0.47968475 1.        ],[0.91498792 1.         1.        ],[0.78349298 0.84771371 1.        ],[0.78282212 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.6175361586585523,-1,0,0,0.0,-0.0,False
1.0,0.0,0.3824638413414476,0.0,[0.61401677 0.47968475 1.        ],[0.91498792 1.         1.        ],[0.78349298 0.84771371 1.        ],[0.78282212 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.3889997890538659,0.0,[0.62497842 0.49245243 1.        ],[0.9040082 1.        1.       ],[0.7830459  0.84796852 1.        ],[0.78369552 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.6110002109461341,-1,0,0,0.0,-0.0,False
1.0,0.0,0.3889997890538659,0.0,[0.62497842 0.49245243 1.        ],[0.9040082 1.        1.       ],[0.7830459  0.84796852 1.        ],[0.78369552 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.3955357367662842,0.0,[0.63578919 0.50504992 1.        ],[0.89321815 1.         1.        ],[0.7841582  0.84838658 1.        ],[0.78341333 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.6044642632337157,-1,0,0,0.0,-0.0,False
1.0,0.0,0.3955357367662842,0.0,[0.63578919 0.50504992 1.        ],[0.89321815 1.         1.        ],[0.7841582  0.84838658 1.        ],[0.78341333 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.40207168447870245,0.0,[0.646398   0.51742863 1.        ],[0.88265967 1.         1.        ],[0.78343429 0.84705821 1.        ],[0.78162522 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.5979283155212975,-1,0,0,0.0,-0.0,False
1.0,0.0,0.40207168447870245,0.0,[0.646398   0.51742863 1.        ],[0.88265967 1.         1.        ],[0.78343429 0.84705821 1.        ],[0.78162522 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.40860763219112073,0.0,[0.656822   0.52966091 1.        ],[0.87225248 1.         1.        ],[0.78332631 0.84833012 1.        ],[0.78272211 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.5913923678088792,-1,0,0,0.0,-0.0,False
1.0,0.0,0.40860763219112073,0.0,[0.656822   0.52966091 1.        ],[0.87225248 1.         1.        ],[0.78332631 0.84833012 1.        ],[0.78272211 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.415143579903539,0.0,[0.6670616  0.54173835 1.        ],[0.86202167 1.         1.        ],[0.78323389 0.84929975 1.        ],[0.78291795 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.584856420096461,-1,0,0,0.0,-0.0,False
