free_right,free_left,ego_speed,during_change,distance_front,distance_back,speed_front,speed_back,occup_front,occup_back,ego_lanes,action,free_right',free_left',ego_speed',during_change',distance_front',distance_back',speed_front',speed_back',occup_front',occup_back',ego_lanes',r_deltaspeed,r_freeright,r_lanechange,r_safetyviolation,r_distancefront,r_jerk,done
1.0,0.0,0.23690969698904144,0.0,[0.72148041 0.38966546 1.        ],[0.09010385 1.         1.        ],[0.78257332 0.78405744 1.        ],[0.848348 0.       0.      ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],1,1.0,0.0,0.24344564470145974,0.0,[0.73649712 0.40466635 1.        ],[0.07333874 1.         1.        ],[0.78326195 0.78269316 1.        ],[0.84611284 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.7565543552985402,-1,0,-1,0.0,-0.5000000000000004,False
1.0,0.0,0.24344564470145974,0.0,[0.73649712 0.40466635 1.        ],[0.07333874 1.         1.        ],[0.78326195 0.78269316 1.        ],[0.84611284 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],1,1.0,0.0,0.24998159241387805,0.0,[0.75132304 0.41949638 1.        ],[0.05669489 1.         1.        ],[0.78293929 0.78308719 1.        ],[0.84828992 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.7500184075861219,-1,0,-1,0.0,-0.0,False
1.0,0.0,0.24998159241387805,0.0,[0.75132304 0.41949638 1.        ],[0.05669489 1.         1.        ],[0.78293929 0.78308719 1.        ],[0.84828992 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],1,1.0,0.0,0.25651754012629635,0.0,[0.76595715 0.43417681 1.        ],[0.0402839 1.        1.       ],[0.78258039 0.78424546 1.        ],[0.84645513 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.7434824598737035,-1,0,-1,0.0,-0.0,False
1.0,0.0,0.25651754012629635,0.0,[0.76595715 0.43417681 1.        ],[0.0402839 1.        1.       ],[0.78258039 0.78424546 1.        ],[0.84645513 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.26305348783871463,0.0,[0.78045521 0.44861019 1.        ],[0.02403541 1.         1.        ],[0.78422575 0.7819006  1.        ],[0.84714968 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.7369465121612854,-1,0,0,0.0,-2.220446049250313e-15,False
1.0,0.0,0.26305348783871463,0.0,[0.78045521 0.44861019 1.        ],[0.02403541 1.         1.        ],[0.78422575 0.7819006  1.        ],[0.84714968 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.2695894355511329,0.0,[0.79475468 0.46291254 1.        ],[0.00791837 1.         1.        ],[0.78362252 0.78372596 1.        ],[0.84896022 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.730410564448867,-1,0,0,0.0,-0.0,False
1.0,0.0,0.2695894355511329,0.0,[0.79475468 0.46291254 1.        ],[0.00791837 1.         1.        ],[0.78362252 0.78372596 1.        ],[0.84896022 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.2761253832635512,0.0,[0.80885014 0.47702837 1.        ],[0. 1. 1.],[0.78282494 0.78355723 1.        ],[0.84869299 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.7238746167364488,-1,0,0,0.0,-0.0,False
1.0,0.0,0.2761253832635512,0.0,[0.80885014 0.47702837 1.        ],[0. 1. 1.],[0.78282494 0.78355723 1.        ],[0.84869299 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.28266133097596946,0.0,[0.82279159 0.49094043 1.        ],[0. 1. 1.],[0.78382461 0.78276804 1.        ],[0.84795441 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.7173386690240304,-1,0,0,0.0,-0.0,False
1.0,0.0,0.28266133097596946,0.0,[0.82279159 0.49094043 1.        ],[0. 1. 1.],[0.78382461 0.78276804 1.        ],[0.84795441 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.28919727868838774,0.0,[0.         0.50468873 1.        ],[0.35055382 1.         1.        ],[0.84812411 0.78341745 1.        ],[0.81853104 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.7108027213116123,-1,0,0,0.0,-0.0,False
1.0,0.0,0.28919727868838774,0.0,[0.         0.50468873 1.        ],[0.35055382 1.         1.        ],[0.84812411 0.78341745 1.        ],[0.81853104 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.295733226400806,0.0,[0.         0.51826347 1.        ],[0.33610591 1.         1.        ],[0.84812325 0.78371382 1.        ],[0.81510224 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.7042667735991939,-1,0,0,0.0,-0.0,False
1.0,0.0,0.295733226400806,0.0,[0.         0.51826347 1.        ],[0.33610591 1.         1.        ],[0.84812325 0.78371382 1.        ],[0.81510224 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.3022691741132243,0.0,[0.         0.53162592 1.        ],[0.32181352 1.         1.        ],[0.8483473  0.78261881 1.        ],[0.81604826 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 0. 1.],-0.6977308258867757,-1,0,0,0.0,-0.0,False
