free_right,free_left,ego_speed,during_change,distance_front,distance_back,speed_front,speed_back,occup_front,occup_back,ego_lanes,action,free_right',free_left',ego_speed',during_change',distance_front',distance_back',speed_front',speed_back',occup_front',occup_back',ego_lanes',r_deltaspeed,r_freeright,r_lanechange,r_safetyviolation,r_distancefront,r_jerk,done
0.0,1.0,0.7796486915725289,0.0,[0.10324825 1.         1.        ],[1. 1. 1.],[0.8485751 1.        1.       ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7829820471869489,0.0,[0.10506046 1.         1.        ],[1. 1. 1.],[0.84812665 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.2170179528130511,0,0,0,-0.8949395428465963,-0.2550017045031261,False
0.0,1.0,0.7829820471869489,0.0,[0.10506046 1.         1.        ],[1. 1. 1.],[0.84812665 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7832806798745499,0.0,[0.10682029 1.         1.        ],[1. 1. 1.],[0.84654271 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.21671932012545017,0,0,0,-0.8931797082960582,-0.23215630390165387,False
0.0,1.0,0.7832806798745499,0.0,[0.10682029 1.         1.        ],[1. 1. 1.],[0.84654271 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7824609335804881,0.0,[0.10858428 1.         1.        ],[1. 1. 1.],[0.84587212 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.2175390664195119,0,0,0,-0.8914157244065966,-0.08555599209719489,False
0.0,1.0,0.7824609335804881,0.0,[0.10858428 1.         1.        ],[1. 1. 1.],[0.84587212 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7825254358178133,0.0,[0.1103907 1.        1.       ],[1. 1. 1.],[0.84746236 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.21747456418218675,0,0,0,-0.8896092971838617,-0.06764501265109857,False
0.0,1.0,0.7825254358178133,0.0,[0.1103907 1.        1.       ],[1. 1. 1.],[0.84746236 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7847863926167826,0.0,[0.11207915 1.         1.        ],[1. 1. 1.],[0.84548215 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.2152136073832174,0,0,0,-0.8879208514949861,-0.1680287739657782,False
0.0,1.0,0.7847863926167826,0.0,[0.11207915 1.         1.        ],[1. 1. 1.],[0.84548215 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7835602174977861,0.0,[0.11387648 1.         1.        ],[1. 1. 1.],[0.84817034 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.21643978250221385,0,0,0,-0.8861235153293641,-0.26676559172438274,False
0.0,1.0,0.7835602174977861,0.0,[0.11387648 1.         1.        ],[1. 1. 1.],[0.84817034 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7868551934541453,0.0,[0.11560351 1.         1.        ],[1. 1. 1.],[0.84893795 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.2131448065458547,0,0,0,-0.8843964860108902,-0.3458680572647044,False
0.0,1.0,0.7868551934541453,0.0,[0.11560351 1.         1.        ],[1. 1. 1.],[0.84893795 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7882784916519927,0.0,[0.11730289 1.         1.        ],[1. 1. 1.],[0.84936732 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.21172150834800732,0,0,0,-0.8826971060076688,-0.14318334852615244,False
0.0,1.0,0.7882784916519927,0.0,[0.11730289 1.         1.        ],[1. 1. 1.],[0.84936732 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7893675418764288,0.0,[0.11894642 1.         1.        ],[1. 1. 1.],[0.8484487 1.        1.       ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.21063245812357118,0,0,0,-0.881053575640626,-0.025569969965957284,False
0.0,1.0,0.7893675418764288,0.0,[0.11894642 1.         1.        ],[1. 1. 1.],[0.8484487 1.        1.       ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],0,0.0,1.0,0.7891462101378254,0.0,[0.12055071 1.         1.        ],[1. 1. 1.],[0.84681652 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[1. 0. 0.],-0.2108537898621746,0,0,0,-0.8794492923592805,-0.10024422017252732,False
