free_right,free_left,ego_speed,during_change,distance_front,distance_back,speed_front,speed_back,occup_front,occup_back,ego_lanes,action,free_right',free_left',ego_speed',during_change',distance_front',distance_back',speed_front',speed_back',occup_front',occup_back',ego_lanes',r_deltaspeed,r_freeright,r_lanechange,r_safetyviolation,r_distancefront,r_jerk,done
1.0,1.0,0.3733675521037547,0.0,[0.53237225 1.         1.        ],[1. 1. 1.],[0.78184025 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.379903499816173,0.0,[0.54356418 1.         1.        ],[1. 1. 1.],[0.78222795 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.6200965001838271,-1,0,0,0.0,-0.4999999999999982,False
1.0,1.0,0.379903499816173,0.0,[0.54356418 1.         1.        ],[1. 1. 1.],[0.78222795 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.3864394475285913,0.0,[0.55458831 1.         1.        ],[1. 1. 1.],[0.78273157 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.6135605524714087,-1,0,0,0.0,-0.0,False
1.0,1.0,0.3864394475285913,0.0,[0.55458831 1.         1.        ],[1. 1. 1.],[0.78273157 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.39297539524100955,0.0,[0.56542701 1.         1.        ],[1. 1. 1.],[0.78260201 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.6070246047589906,-1,0,0,0.0,-0.0,False
1.0,1.0,0.39297539524100955,0.0,[0.56542701 1.         1.        ],[1. 1. 1.],[0.78260201 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.39951134295342783,0.0,[0.57606848 1.         1.        ],[1. 1. 1.],[0.78204785 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.6004886570465722,-1,0,0,0.0,-0.0,False
1.0,1.0,0.39951134295342783,0.0,[0.57606848 1.         1.        ],[1. 1. 1.],[0.78204785 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.4060472906658461,0.0,[0.58650344 1.         1.        ],[1. 1. 1.],[0.78116019 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.593952709334154,-1,0,0,0.0,-0.0,False
1.0,1.0,0.4060472906658461,0.0,[0.58650344 1.         1.        ],[1. 1. 1.],[0.78116019 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.4125832383782644,0.0,[0.59683093 1.         1.        ],[1. 1. 1.],[0.78383266 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.5874167616217356,-1,0,0,0.0,-0.0,False
1.0,1.0,0.4125832383782644,0.0,[0.59683093 1.         1.        ],[1. 1. 1.],[0.78383266 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.41911918609068266,0.0,[0.60694887 1.         1.        ],[1. 1. 1.],[0.78283617 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.5808808139093175,-1,0,0,0.0,-0.0,False
1.0,1.0,0.41911918609068266,0.0,[0.60694887 1.         1.        ],[1. 1. 1.],[0.78283617 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.42565513380310094,0.0,[0.61686704 1.         1.        ],[1. 1. 1.],[0.78219047 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.5743448661968991,-1,0,0,0.0,-0.0,False
1.0,1.0,0.42565513380310094,0.0,[0.61686704 1.         1.        ],[1. 1. 1.],[0.78219047 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.4321910815155192,0.0,[0.62660164 1.         1.        ],[1. 1. 1.],[0.78212785 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.5678089184844809,-1,0,0,0.0,-0.0,False
1.0,1.0,0.4321910815155192,0.0,[0.62660164 1.         1.        ],[1. 1. 1.],[0.78212785 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.4387270292279375,0.0,[0.63620873 1.         1.        ],[1. 1. 1.],[0.78407993 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.5612729707720625,-1,0,0,0.0,-0.0,False
1.0,1.0,0.4387270292279375,0.0,[0.63620873 1.         1.        ],[1. 1. 1.],[0.78407993 1.         1.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.44526297694035577,0.0,[0.64563793 1.         1.        ],[1. 1. 1.],[0.7842211 1.        1.       ],[0. 0. 0.],[1. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.5547370230596443,-1,0,0,0.0,-0.0,False
