free_right,free_left,ego_speed,during_change,distance_front,distance_back,speed_front,speed_back,occup_front,occup_back,ego_lanes,action,free_right',free_left',ego_speed',during_change',distance_front',distance_back',speed_front',speed_back',occup_front',occup_back',ego_lanes',r_deltaspeed,r_freeright,r_lanechange,r_safetyviolation,r_distancefront,r_jerk,done
1.0,0.0,0.106146000482422,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.1126819481948403,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 1.],-0.8873180518051597,-1,0,0,0.0,-0.5000000000000004,False
1.0,0.0,0.1126819481948403,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.1192178959072586,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 1.],-0.8807821040927414,-1,0,0,0.0,-0.0,False
1.0,0.0,0.1192178959072586,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.1257538436196769,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 1.],-0.874246156380323,-1,0,0,0.0,-0.0,False
1.0,0.0,0.1257538436196769,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.1322897913320952,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 1.],-0.8677102086679047,-1,0,0,0.0,-0.0,False
1.0,0.0,0.1322897913320952,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.1388257390445135,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 1.],-0.8611742609554864,-1,0,0,0.0,-0.0,False
1.0,0.0,0.1388257390445135,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.1453616867569318,0.0,[1. 1. 1.],[0.9940667 1.        1.       ],[1. 1. 1.],[0.84900947 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.8546383132430682,-1,0,0,0.0,-0.0,False
1.0,0.0,0.1453616867569318,0.0,[1. 1. 1.],[0.9940667 1.        1.       ],[1. 1. 1.],[0.84900947 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.15189763446935015,0.0,[1. 1. 1.],[0.97467273 1.         1.        ],[1. 1. 1.],[0.84906648 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.8481023655306499,-1,0,0,0.0,-0.0,False
1.0,0.0,0.15189763446935015,0.0,[1. 1. 1.],[0.97467273 1.         1.        ],[1. 1. 1.],[0.84906648 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.15843358218176845,0.0,[1. 1. 1.],[0.95549672 1.         1.        ],[1. 1. 1.],[0.84776702 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.8415664178182315,-1,0,0,0.0,-0.0,False
1.0,0.0,0.15843358218176845,0.0,[1. 1. 1.],[0.95549672 1.         1.        ],[1. 1. 1.],[0.84776702 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.16496952989418676,0.0,[1. 1. 1.],[0.93654895 1.         1.        ],[1. 1. 1.],[0.8460986 0.        0.       ],[0. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.8350304701058132,-1,0,0,0.0,-0.0,False
1.0,0.0,0.16496952989418676,0.0,[1. 1. 1.],[0.93654895 1.         1.        ],[1. 1. 1.],[0.8460986 0.        0.       ],[0. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.17150547760660506,0.0,[1. 1. 1.],[0.91769843 1.         1.        ],[1. 1. 1.],[0.84913853 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.8284945223933949,-1,0,0,0.0,-0.0,False
