free_right,free_left,ego_speed,during_change,distance_front,distance_back,speed_front,speed_back,occup_front,occup_back,ego_lanes,action,free_right',free_left',ego_speed',during_change',distance_front',distance_back',speed_front',speed_back',occup_front',occup_back',ego_lanes',r_deltaspeed,r_freeright,r_lanechange,r_safetyviolation,r_distancefront,r_jerk,done
1.0,0.0,0.45122883950201853,0.0,[0. 1. 1.],[0.78750223 1.         1.        ],[0.78422805 1.         1.        ],[0.78264554 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.4577647872144368,0.0,[0. 1. 1.],[0.77843779 1.         1.        ],[0.78297468 1.         1.        ],[0.78361059 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.5422352127855631,-1,0,0,0.0,-0.4999999999999982,False
1.0,0.0,0.4577647872144368,0.0,[0. 1. 1.],[0.77843779 1.         1.        ],[0.78297468 1.         1.        ],[0.78361059 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.4643007349268551,0.0,[0. 1. 1.],[0.76958133 1.         1.        ],[0.78307212 1.         1.        ],[0.78267037 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.5356992650731449,-1,0,0,0.0,-0.0,False
1.0,0.0,0.4643007349268551,0.0,[0. 1. 1.],[0.76958133 1.         1.        ],[0.78307212 1.         1.        ],[0.78267037 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.47083668263927336,0.0,[0. 1. 1.],[0.7608925 1.        1.       ],[0.78367032 1.         1.        ],[0.7831799 0.        0.       ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.5291633173607265,-1,0,0,0.0,-0.0,False
1.0,0.0,0.47083668263927336,0.0,[0. 1. 1.],[0.7608925 1.        1.       ],[0.78367032 1.         1.        ],[0.7831799 0.        0.       ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.47737263035169164,0.0,[0. 1. 1.],[0.75237216 1.         1.        ],[0.78417202 1.         1.        ],[0.78365967 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.5226273696483084,-1,0,0,0.0,-0.0,False
1.0,0.0,0.47737263035169164,0.0,[0. 1. 1.],[0.75237216 1.         1.        ],[0.78417202 1.         1.        ],[0.78365967 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.4839085780641099,0.0,[0. 1. 1.],[0.74404726 1.         1.        ],[0.78411691 1.         1.        ],[0.78316942 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.5160914219358901,-1,0,0,0.0,-0.0,False
1.0,0.0,0.4839085780641099,0.0,[0. 1. 1.],[0.74404726 1.         1.        ],[0.78411691 1.         1.        ],[0.78316942 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.4904445257765282,0.0,[0. 1. 1.],[0.73589823 1.         1.        ],[0.78416672 1.         1.        ],[0.78338371 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.5095554742234718,-1,0,0,0.0,-0.0,False
1.0,0.0,0.4904445257765282,0.0,[0. 1. 1.],[0.73589823 1.         1.        ],[0.78416672 1.         1.        ],[0.78338371 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.4969804734889465,0.0,[0. 1. 1.],[0.72792356 1.         1.        ],[0.78412386 1.         1.        ],[0.78365141 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.5030195265110535,-1,0,0,0.0,-0.0,False
1.0,0.0,0.4969804734889465,0.0,[0. 1. 1.],[0.72792356 1.         1.        ],[0.78412386 1.         1.        ],[0.78365141 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.5035164212013648,0.0,[0.00128896 1.         1.        ],[0.72014242 1.         1.        ],[0.78259898 1.         1.        ],[0.78323064 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.49648357879863525,-1,0,0,0.0,-0.0,False
1.0,0.0,0.5035164212013648,0.0,[0.00128896 1.         1.        ],[0.72014242 1.         1.        ],[0.78259898 1.         1.        ],[0.78323064 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.510052368913783,0.0,[0.00887575 1.         1.        ],[0.71254573 1.         1.        ],[0.78278023 1.         1.        ],[0.783136 0.       0.      ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.489947631086217,-1,0,0,0.0,-0.0,False
1.0,0.0,0.510052368913783,0.0,[0.00887575 1.         1.        ],[0.71254573 1.         1.        ],[0.78278023 1.         1.        ],[0.783136 0.       0.      ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],0,1.0,0.0,0.5165883166262013,0.0,[0.01628474 1.         1.        ],[0.70513983 1.         1.        ],[0.78292437 1.         1.        ],[0.78281344 0.         0.        ],[1. 0. 0.],[1. 0. 0.],[0. 0. 1.],-0.4834116833737987,-1,0,0,0.0,-0.0,False
